	Model	Accuracy (Before)	Precision (Before)	Recall (Before)	F1 Score (Before)	AUC (Before)	PR AUC (Before)	Accuracy (After)	Precision (After)	Recall (After)	F1 Score (After)	AUC (After)	PR AUC (After)
0	Random Forest	0.824699	0.838471	0.847727	0.838417	0.906110	0.911587	0.837814	0.844595	0.865909	0.851863	0.914220	0.926696
1	Gradient Boosting	0.795027	0.796555	0.835417	0.812677	0.881763	0.897038	0.817978	0.825821	0.853220	0.834298	0.899324	0.914257
2	AdaBoost	0.818033	0.815263	0.859280	0.832691	0.886073	0.888571	0.844317	0.841454	0.883523	0.858772	0.895626	0.900414
3	XGBoost	0.808251	0.818764	0.835417	0.823759	0.871667	0.880383	0.824699	0.833622	0.847348	0.837789	0.888238	0.898086
