	Accuracy	Precision	Recall	F1 Score	AUC	PR AUC	Train Accuracy	Train F1	Model	Best Params
0	0.857541	0.857077	0.889962	0.870709	0.917406	0.922947	0.876650	0.889236	Logistic Regression	{'model__C': 1, 'model__solver': 'lbfgs'}
1	0.831038	0.828106	0.877652	0.849541	0.915071	0.925464	0.875817	0.888687	SVM (RBF)	{'model__C': 1, 'model__gamma': 'auto'}
2	0.837869	0.823778	0.896212	0.857239	0.899574	0.891452	0.855146	0.871467	KNN	{'model__n_neighbors': 11, 'model__weights': '...
3	0.801257	0.814579	0.829167	0.817426	0.850877	0.815566	0.855969	0.869553	Decision Tree	{'model__criterion': 'gini', 'model__max_depth...
