	Accuracy	Precision	Recall	F1 Score	AUC	PR AUC	Train Accuracy	Train F1	Model	Best Params
0	0.837814	0.844595	0.865909	0.851863	0.914220	0.926696	0.939567	0.945371	Random Forest	{'model__max_depth': None, 'model__min_samples...
1	0.817978	0.825821	0.853220	0.834298	0.899324	0.914257	0.916402	0.924859	Gradient Boosting	{'model__learning_rate': 0.05, 'model__max_dep...
2	0.844317	0.841454	0.883523	0.858772	0.895626	0.900414	0.882456	0.894641	AdaBoost	{'model__learning_rate': 0.5, 'model__n_estima...
3	0.824699	0.833622	0.847348	0.837789	0.888238	0.898086	1.000000	1.000000	XGBoost	{'model__colsample_bytree': 0.8, 'model__learn...
